,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
51602,43241,광주평화방송,14923,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,0,10000,,,,,,광주평화방송,6,송방화평주광
62505,42265,경상북도개인택시운송,14090,우리은행,출금,우리은행,F020,직접입력,,,요구불간계좌이체,회비,EB07,0,0,,,,,,경상북도개인택시운송,10,송운시택인개도북상경
44329,6640,다이아몬드특송,4433,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,20000,20000,,,,,,다이아몬드특송,7,송특드몬아이다
49055,65176,비에스쿡앤쇼,33838,,출금,우리은행,F020,회사명,,,CMS공동망 출금이체,회사출금,EI05,24000,24000,,,,,,비에스쿡앤쇼,6,쇼앤쿡스에비
44822,8284,범아검수,5575,,입금,우리은행,F020,회사명,,,급여 입금이체,회사입금,DC02,2759000,3107000,,,,,,범아검수,4,수검아범
59724,66489,서울가스이계수,34991,,출금,우리은행,F020,실명,,,전자뱅킹예약건별이체,세금/공과금,EB01,0,0,,,,,,서울가스이계수,7,수계이스가울서
62208,18294,ＵＳＴ＿대표교수,12671,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,300000,400000,,,,,,ＵＳＴ＿대표교수,7,수교표대＿ＴＳＵ
44361,6809,대림국수,4592,,입금,우리은행,F020,회사명,,,급여 입금이체,회사입금,DC02,2901000,2901000,,,,,,대림국수,4,수국림대
65005,67035,선화음악실기수,35474,우리은행,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,교육비,EF01,280000,280000,,,,,,선화음악실기수,7,수기실악음화선
61448,12451,유진증권－김덕수,8653,우리은행,입금,우리은행,F020,실명,,,납부자자동 입금이체,개인입금,DC03,0,0,,,,,,유진증권－김덕수,7,수덕김－권증진유
44640,7410,뚝도아리수,5091,,입금,우리은행,F020,회사명,,,지로대량급여 입금이체,회사입금,DC02,385000,2878000,,,,,,뚝도아리수,5,수리아도뚝
44131,4013,구의아리수,2384,,입금,우리은행,F020,회사명,,,지로대량급여 입금이체,회사입금,DC02,375000,2645000,,,,,,구의아리수,5,수리아의구
59030,57997,농협파주수도권만수,27697,,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,세금/공과금,EB01,23000,30000,,,,,,농협파주수도권만수,9,수만권도수주파협농
63066,53545,남양신만수,23562,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,구독서비스,EC01,26000,26000,,,,,,남양신만수,5,수만신양남
55522,41927,건강김명수,13782,,출금,우리은행,F020,실명,,,전자뱅킹예약건별이체,세금/공과금,EB01,352000,352000,,,,,,건강김명수,5,수명김강건
63974,60261,망원동티라미수,29728,우리은행,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,식비,EB06,220000,220000,,,,,,망원동티라미수,7,수미라티동원망
64895,66528,서울상수도김병수,35030,우리은행,출금,우리은행,F020,실명,,,전자뱅킹예약건별이체,세금/공과금,EB01,86000,86000,,,,,,서울상수도김병수,8,수병김도수상울서
65435,69868,승강기보수,38065,우리은행,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,전문서비스,EC02,90000,90000,,,,,,승강기보수,5,수보기강승
61698,14249,직업건강대행보수,9869,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,193000,193000,,,,,,직업건강대행보수,8,수보행대강건업직
62441,41967,건국안양석수,13822,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,구독서비스,EC01,29000,29000,,,,,,건국안양석수,6,수석양안국건
44862,8416,봉봉성형외과박성수,5661,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,0,0,,,,,,봉봉성형외과박성수,9,수성박과외형성봉봉
45266,9863,소노캄　여수,6664,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,0,95000,,,,,,소노캄　여수,5,수여　캄노소
48951,64266,법무보호여수,33043,,출금,우리은행,F020,회사명,,,펌뱅킹 출금이체,회사출금,EI05,10000,10000,,,,,,법무보호여수,6,수여호보무법
63067,53546,남양신연수,23563,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,구독서비스,EC01,44000,44000,,,,,,남양신연수,5,수연신양남
48103,43313,교원연수,14978,,출금,우리은행,F020,회사명,,,펌뱅킹 출금이체,회사출금,EI05,24000,29000,,,,,,교원연수,4,수연원교
64852,66355,서서울 국영수,34873,우리은행,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,교육비,EF01,240000,240000,,,,,,서서울 국영수,6,수영국 울서서
44091,3862,광덕운수,2276,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,0,0,,,,,,광덕운수,4,수운덕광
44246,5755,남경특수운수,3634,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,0,0,,,,,,남경특수운수,6,수운수특경남
48332,53294,나우특수운수,23344,,출금,우리은행,F020,회사명,,,펌뱅킹 출금이체,회사출금,EI05,45000,45000,,,,,,나우특수운수,6,수운수특우나
45394,10286,신인운수,6953,,입금,우리은행,F020,회사명,,,급여 입금이체,회사입금,DC02,1453000,2521000,,,,,,신인운수,4,수운인신
64457,64619,부경정수,33334,우리은행,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,렌탈,EC03,0,12000,,,,,,부경정수,4,수정경부
62836,47406,그린정수,18542,우리은행,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,렌탈,EC03,0,44000,,,,,,그린정수,4,수정린그
62837,47407,그린정수,18543,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,렌탈,EC03,0,44000,,,,,,그린정수,4,수정린그
45537,11110,암사정수,7637,,입금,우리은행,F020,회사명,,,지로대량급여 입금이체,회사입금,DC02,375000,4866000,,,,,,암사정수,4,수정사암
63892,60035,리갈대성정수,29525,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,렌탈,EC03,10000,11000,,,,,,리갈대성정수,6,수정성대갈리
62845,47423,그린피스정수,18558,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,렌탈,EC03,11000,22000,,,,,,그린피스정수,6,수정스피린그
44104,3885,광암정수,2295,,입금,우리은행,F020,회사명,,,지로대량급여 입금이체,회사입금,DC02,0,4866000,,,,,,광암정수,4,수정암광
62738,43314,교원정수,14979,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,렌탈,EC03,0,136000,,,,,,교원정수,4,수정원교
62843,47418,그린탑정수,18553,우리은행,출금,우리은행,F020,직접입력,,,CMS공동망 출금이체,렌탈,EC03,20000,20000,,,,,,그린탑정수,5,수정탑린그
