index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
13667,13667,입금,인터넷뱅킹 대량이체,주식회사 베스트텍,"3,659,000","3,659,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0베스트텍,9,텍트스베0사회식주
13668,13668,입금,인터넷뱅킹 대량이체,주식회사 부스터즈,"20,000","20,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0부스터즈,9,즈터스부0사회식주
13669,13669,입금,인터넷뱅킹 대량이체,주식회사 비바푸드,"108,000","474,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0비바푸드,9,드푸바비0사회식주
13670,13670,입금,인터넷뱅킹 대량이체,주식회사 비에스온,"39,000","25,550,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0비에스온,9,온스에비0사회식주
13671,13671,입금,인터넷뱅킹 대량이체,주식회사 삼현지주,"132,000","132,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0삼현지주,9,주지현삼0사회식주
13672,13672,입금,인터넷뱅킹 대량이체,주식회사 상림,"780,000","780,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0상림,7,림상0사회식주
13673,13673,입금,인터넷뱅킹 대량이체,주식회사 세명,"4,486,000","4,486,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0세명,7,명세0사회식주
13674,13674,입금,인터넷뱅킹 대량이체,주식회사 시선아이지,"290,000","290,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0시선아이지,10,지이아선시0사회식주
13675,13675,입금,인터넷뱅킹 대량이체,주식회사 시에이그룹,"2,310,000","2,310,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0시에이그룹,10,룹그이에시0사회식주
13676,13676,입금,인터넷뱅킹 대량이체,주식회사 씨디에이에,"6,695,000","6,695,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0씨디에이에,10,에이에디씨0사회식주
13677,13677,입금,인터넷뱅킹 대량이체,주식회사 씨테크시스, - , - ,입금이체,회사입금,,,,,,,,,,,,,,주식회사0씨테크시스,10,스시크테씨0사회식주
13678,13678,입금,인터넷뱅킹 대량이체,주식회사 아도니스컴,"8,000","2,091,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0아도니스컴,10,컴스니도아0사회식주
13679,13679,입금,급여 입금이체,주식회사 아리안,"3,930,000","3,930,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0아리안,8,안리아0사회식주
13680,13680,입금,급여 입금이체,주식회사 아임포트,"1,000","1,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0아임포트,9,트포임아0사회식주
13681,13681,입금,인터넷뱅킹 대량이체,주식회사 알엠씨플랜,"518,000","518,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0알엠씨플랜,10,랜플씨엠알0사회식주
13682,13682,입금,인터넷뱅킹 대량이체,주식회사 알파모바일,"358,000","358,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0알파모바일,10,일바모파알0사회식주
13683,13683,입금,인터넷뱅킹 대량이체,주식회사 어비신케어, - ,"6,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0어비신케어,10,어케신비어0사회식주
13684,13684,입금,인터넷뱅킹 대량이체,주식회사 어스앤에어, - ,"3,341,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0어스앤에어,10,어에앤스어0사회식주
13685,13685,입금,인터넷뱅킹 대량이체,주식회사 에스앤에이,"1,000","1,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0에스앤에이,10,이에앤스에0사회식주
13686,13686,입금,인터넷뱅킹 대량이체,주식회사 에스티지씨,"15,000","110,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0에스티지씨,10,씨지티스에0사회식주
13687,13687,입금,인터넷뱅킹 대량이체,주식회사 에이치씨리,"165,000","1,925,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0에이치씨리,10,리씨치이에0사회식주
13688,13688,입금,인터넷뱅킹 대량이체,주식회사 에이치엔쉽,"91,000","91,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0에이치엔쉽,10,쉽엔치이에0사회식주
13689,13689,입금,어음만기입금,주식회사 에프앤에프,"1,499,000","4,063,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0에프앤에프,10,프에앤프에0사회식주
13690,13690,입금,인터넷뱅킹 대량이체,주식회사 에프엠애드,"832,000","3,835,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0에프엠애드,10,드애엠프에0사회식주
13691,13691,입금,인터넷뱅킹 대량이체,주식회사 엑스바이블,"200,000","200,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0엑스바이블,10,블이바스엑0사회식주
13692,13692,입금,어음만기입금,주식회사 엘엑스하우,"825,000","15,400,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0엘엑스하우,10,우하스엑엘0사회식주
13693,13693,입금,인터넷뱅킹 대량이체,주식회사 용현컨소시, - ,"2,848,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0용현컨소시,10,시소컨현용0사회식주
13694,13694,입금,인터넷뱅킹 대량이체,주식회사 우성하우징,"846,000","846,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0우성하우징,10,징우하성우0사회식주
13695,13695,입금,인터넷뱅킹 대량이체,주식회사 위펀,"128,000","128,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0위펀,7,펀위0사회식주
13696,13696,입금,인터넷뱅킹 대량이체,주식회사 유엔미디어, - ,"54,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0유엔미디어,10,어디미엔유0사회식주
13697,13697,입금,인터넷뱅킹 대량이체,주식회사 이스턴웰스,"1,650,000","1,650,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0이스턴웰스,10,스웰턴스이0사회식주
13698,13698,입금,인터넷뱅킹 대량이체,주식회사 이엘링크, - , - ,입금이체,회사입금,,,,,,,,,,,,,,주식회사0이엘링크,9,크링엘이0사회식주
13699,13699,입금,인터넷뱅킹 대량이체,주식회사 이오비스텍, - ,"252,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0이오비스텍,10,텍스비오이0사회식주
13700,13700,입금,인터넷뱅킹 대량이체,주식회사 이오플러스,"77,000","117,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0이오플러스,10,스러플오이0사회식주
13701,13701,입금,인터넷뱅킹 대량이체,주식회사 일진기공,"3,828,000","3,828,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0일진기공,9,공기진일0사회식주
13702,13702,입금,인터넷뱅킹 대량이체,주식회사 차오름,"5,802,000","5,802,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0차오름,8,름오차0사회식주
13703,13703,입금,급여 입금이체,주식회사 천우, - ,"2,122,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0천우,7,우천0사회식주
13704,13704,입금,인터넷뱅킹 대량이체,주식회사 천조,"812,000","812,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0천조,7,조천0사회식주
13705,13705,입금,인터넷뱅킹 대량이체,주식회사 청담미디어,"242,000","242,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0청담미디어,10,어디미담청0사회식주
13706,13706,입금,인터넷뱅킹 대량이체,주식회사 춤사, - ,"1,934,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0춤사,7,사춤0사회식주
13707,13707,입금,인터넷뱅킹 대량이체,주식회사 캡마스터,"73,000","73,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0캡마스터,9,터스마캡0사회식주
13708,13708,입금,인터넷뱅킹 대량이체,주식회사 케어닥,"60,000","945,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0케어닥,8,닥어케0사회식주
13709,13709,입금,인터넷뱅킹 대량이체,주식회사 케이디앤리,"155,000","1,230,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0케이디앤리,10,리앤디이케0사회식주
13710,13710,입금,인터넷뱅킹 대량이체,주식회사 케이와이엠, - , - ,입금이체,회사입금,,,,,,,,,,,,,,주식회사0케이와이엠,10,엠이와이케0사회식주
13711,13711,입금,인터넷뱅킹 대량이체,주식회사 케이조선,"10,000","44,535,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0케이조선,9,선조이케0사회식주
