index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
66564,66564,지급,펌뱅킹 출금이체,서울의소리, - ,"10,000",개인거래,기타출금,,,,,,,,,,,,,,서울의소리,5,리소의울서
66594,66594,지급,CMS공동망 출금이체,서울흥사단,"10,000","30,000",주거/생활,회비,,,,,,,,,,,,,,서울흥사단,5,단사흥울서
66609,66609,지급,펌뱅킹 출금이체,서원어학원,"205,000","205,000",교육,교육비,,,,,,,,,,,,,,서원어학원,5,원학어원서
66617,66617,지급,CMS공동망 출금이체,서원초큐브, - , - ,교육,교육비,,,,,,,,,,,,,,서원초큐브,5,브큐초원서
66846,66846,지급,펌뱅킹 출금이체,서홍석회계,"110,000","110,000",서비스이용,전문서비스,,,,,,,,,,,,,,서홍석회계,5,계회석홍서
66849,66849,지급,CMS공동망 출금이체,서화초돌봄,"70,000","70,000",교육,교육비,,,,,,,,,,,,,,서화초돌봄,5,봄돌초화서
66887,66887,지급,펌뱅킹 출금이체,석성숲유치, - , - ,교육,유아교육,,,,,,,,,,,,,,석성숲유치,5,치유숲성석
66926,66926,지급,전자뱅킹예약건별이체,석－하나카드,"68,000","68,000",금융,카드대금,,,,,,,,,,,,,,석－하나카드,5,드카나하－석
66934,66934,지급,펌뱅킹 출금이체,선경종합가,"275,000","275,000",기타,회사출금,,,,,,,,,,,,,,선경종합가,5,가합종경선
66939,66939,지급,요구불간계좌이체,선교)김민경, - , - ,기타,기부,,,,,,,,,,,,,,선교)김민경,5,경민김)교선
66943,66943,지급,CMS공동망 출금이체,선덕고버스, - ,"110,000",교육,교육비,,,,,,,,,,,,,,선덕고버스,5,스버고덕선
66944,66944,지급,CMS공동망 출금이체,선덕고석식, - ,"111,000",교육,교육비,,,,,,,,,,,,,,선덕고석식,5,식석고덕선
66949,66949,지급,요구불간계좌이체,선덕원후원, - , - ,기타,기부,,,,,,,,,,,,,,선덕원후원,5,원후원덕선
66997,66997,지급,CMS공동망 출금이체,선인정수기, - , - ,서비스이용,렌탈,,,,,,,,,,,,,,선인정수기,5,기수정인선
67002,67002,지급,CMS공동망 당일출금이체-전자금융팀,선정 월버스, - , - ,교육,교육비,,,,,,,,,,,,,,선정0월버스,5,스버월0정선
67033,67033,지급,CMS공동망 당일출금이체-전자금융팀,선화유 차량,"57,000","57,000",교육,유아교육,,,,,,,,,,,,,,선화유0차량,5,량차0유화선
67051,67051,지급,CMS공동망 출금이체,설빙로열티, - ,"633,000",기타,회사출금,,,,,,,,,,,,,,설빙로열티,5,티열로빙설
67057,67057,지급,펌뱅킹 출금이체,설악대리점,"35,000","68,000",기타,회사출금,,,,,,,,,,,,,,설악대리점,5,점리대악설
67074,67074,지급,펌뱅킹 출금이체,섬김의손길, - ,"100,000",기타,기부,,,,,,,,,,,,,,섬김의손길,5,길손의김섬
67076,67076,지급,펌뱅킹 출금이체,섬마을봉사,"10,000","10,000",기타,기부,,,,,,,,,,,,,,섬마을봉사,5,사봉을마섬
67143,67143,지급,펌뱅킹 출금이체,성도종합중, - ,"66,000",기타,회사출금,,,,,,,,,,,,,,성도종합중,5,중합종도성
67144,67144,지급,펌뱅킹 출금이체,성동구지부, - ,"23,000",주거/생활,회비,,,,,,,,,,,,,,성동구지부,5,부지구동성
67154,67154,지급,펌뱅킹 출금이체,성락정수기,"15,000","15,000",서비스이용,렌탈,,,,,,,,,,,,,,성락정수기,5,기수정락성
67169,67169,지급,펌뱅킹 출금이체,성모기사회, - ,"10,000",기타,기부,,,,,,,,,,,,,,성모기사회,5,회사기모성
67170,67170,지급,CMS공동망 출금이체,성모꽃마을, - ,"50,000",기타,기부,,,,,,,,,,,,,,성모꽃마을,5,을마꽃모성
67171,67171,지급,펌뱅킹 출금이체,성모복지원, - , - ,기타,기부,,,,,,,,,,,,,,성모복지원,5,원지복모성
67176,67176,지급,CMS공동망 출금이체,성모초돌봄,"20,000","20,000",교육,교육비,,,,,,,,,,,,,,성모초돌봄,5,봄돌초모성
67200,67200,지급,CMS공동망 출금이체,성민ＣＭＳ,"30,000","50,000",기타,기부,,,,,,,,,,,,,,성민ＣＭＳ,5,ＳＭＣ민성
67208,67208,지급,CMS공동망 출금이체,성보ＳＮＴ, - ,"25,000",기타,회사출금,,,,,,,,,,,,,,성보ＳＮＴ,5,ＴＮＳ보성
67213,67213,지급,CMS공동망 출금이체,성빈첸시오, - ,"10,000",기타,기부,,,,,,,,,,,,,,성빈첸시오,5,오시첸빈성
67215,67215,지급,펌뱅킹 출금이체,성산부천 점,"330,000","330,000",개인거래,기타출금,,,,,,,,,,,,,,성산부천0점,5,점0천부산성
67222,67222,지급,펌뱅킹 출금이체,성서유니온,"10,000","40,000",기타,기부,,,,,,,,,,,,,,성서유니온,5,온니유서성
67229,67229,지급,펌뱅킹 출금이체,성소방엔지,"77,000","99,000",기타,회사출금,,,,,,,,,,,,,,성소방엔지,5,지엔방소성
67231,67231,지급,요구불간계좌이체,성소후원회, - , - ,기타,기부,,,,,,,,,,,,,,성소후원회,5,회원후소성
67247,67247,지급,CMS공동망 출금이체,성신에프씨,"252,000","252,000",기타,회사출금,,,,,,,,,,,,,,성신에프씨,5,씨프에신성
67252,67252,지급,펌뱅킹 출금이체,성심너싱홈,"10,000","10,000",주거/생활,의료비,,,,,,,,,,,,,,성심너싱홈,5,홈싱너심성
67256,67256,지급,펌뱅킹 출금이체,성심요양원, - , - ,주거/생활,의료비,,,,,,,,,,,,,,성심요양원,5,원양요심성
67292,67292,지급,펌뱅킹 출금이체,성원건설주,"55,000","55,000",기타,회사출금,,,,,,,,,,,,,,성원건설주,5,주설건원성
67295,67295,지급,CMS공동망 출금이체,성원씨앤씨,"90,000","90,000",기타,회사출금,,,,,,,,,,,,,,성원씨앤씨,5,씨앤씨원성
67336,67336,지급,펌뱅킹 출금이체,성지오에이,"17,000","17,000",서비스이용,렌탈,,,,,,,,,,,,,,성지오에이,5,이에오지성
67343,67343,지급,CMS공동망 출금이체,성진정보텍, - ,"88,000",서비스이용,전문서비스,,,,,,,,,,,,,,성진정보텍,5,텍보정진성
67345,67345,지급,CMS공동망 출금이체,성진정수기, - ,"10,000",서비스이용,렌탈,,,,,,,,,,,,,,성진정수기,5,기수정진성
67384,67384,지급,지로 출금이체,세경건설주,"165,000","165,000",기타,회사출금,,,,,,,,,,,,,,세경건설주,5,주설건경세
67400,67400,지급,펌뱅킹 출금이체,세계의　심장,"5,000","30,000",기타,기부,,,,,,,,,,,,,,세계의0심장,5,장심0의계세
67409,67409,지급,요구불간계좌이체,세금모으기, - , - ,금융,저축/투자,,,,,,,,,,,,,,세금모으기,5,기으모금세
68372,68372,지급,펌뱅킹 출금이체,세밧사후원, - ,"10,000",기타,기부,,,,,,,,,,,,,,세밧사후원,5,원후사밧세
68384,68384,지급,펌뱅킹 출금이체,세스코지부,"25,000","25,000",서비스이용,전문서비스,,,,,,,,,,,,,,세스코지부,5,부지코스세
68417,68417,지급,펌뱅킹 출금이체,세이브택스, - ,"330,000",서비스이용,전문서비스,,,,,,,,,,,,,,세이브택스,5,스택브이세
68428,68428,지급,CMS공동망 당일출금이체-전자금융팀,세일중체험, - , - ,교육,교육비,,,,,,,,,,,,,,세일중체험,5,험체중일세
68442,68442,지급,CMS공동망 출금이체,세종라이프, - ,"60,000",금융,보험료,,,,,,,,,,,,,,세종라이프,5,프이라종세
68445,68445,지급,CMS공동망 출금이체,세종사무기,"35,000","35,000",서비스이용,전문서비스,,,,,,,,,,,,,,세종사무기,5,기무사종세
68467,68467,지급,펌뱅킹 출금이체,세진아쿠아,"10,000","10,000",기타,회사출금,,,,,,,,,,,,,,세진아쿠아,5,아쿠아진세
68475,68475,지급,펌뱅킹 출금이체,세진컴퍼니, - ,"22,000",기타,회사출금,,,,,,,,,,,,,,세진컴퍼니,5,니퍼컴진세
68478,68478,지급,펌뱅킹 출금이체,세차의요정,"45,000","45,000",자동차,자동차용품/정비,,,,,,,,,,,,,,세차의요정,5,정요의차세
68481,68481,지급,펌뱅킹 출금이체,세첸코리아,"10,000","10,000",기타,기부,,,,,,,,,,,,,,세첸코리아,5,아리코첸세
68490,68490,지급,펌뱅킹 출금이체,세한이엔시,"60,000","60,000",기타,회사출금,,,,,,,,,,,,,,세한이엔시,5,시엔이한세
68510,68510,지급,펌뱅킹 출금이체,센트럴웨이, - ,"22,000",주거/생활,통신비,,,,,,,,,,,,,,센트럴웨이,5,이웨럴트센
68511,68511,지급,펌뱅킹 출금이체,셀리터렌탈,"60,000","60,000",서비스이용,렌탈,,,,,,,,,,,,,,셀리터렌탈,5,탈렌터리셀
68512,68512,지급,펌뱅킹 출금이체,셀리턴렌탈, - ,"60,000",서비스이용,렌탈,,,,,,,,,,,,,,셀리턴렌탈,5,탈렌턴리셀
